2025-11-07 22:48:33,522 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535913.5226216}
2025-11-07 22:48:34,121 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535914.1217659}
2025-11-07 22:48:34,693 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535914.692822}
2025-11-07 22:48:37,840 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535917.840132}
2025-11-07 22:48:38,822 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535918.8228667}
2025-11-07 22:48:39,394 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535919.3929026}
2025-11-07 22:48:41,959 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535921.9585006}
2025-11-07 22:48:42,872 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535922.8717706}
2025-11-07 22:48:43,423 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535923.4231138}
2025-11-07 22:48:45,996 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535925.9954517}
2025-11-07 22:48:46,594 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535926.5943408}
2025-11-07 22:48:47,182 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535927.1815116}
2025-11-07 22:48:49,745 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535929.7447398}
2025-11-07 22:48:50,303 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535930.3039563}
2025-11-07 22:48:50,882 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535930.8813224}
2025-11-07 22:48:53,457 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535933.4566414}
2025-11-07 22:48:54,040 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535934.0390842}
2025-11-07 22:48:54,597 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535934.5963268}
2025-11-07 22:48:57,165 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.67, 'd': -1.1, 'dp': -0.4078, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535880}, 'timestamp': 1762535937.1650562}
2025-11-07 22:48:57,730 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.2201, 'd': -18.6899, 'dp': -4.1914, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535880}, 'timestamp': 1762535937.729759}
2025-11-07 22:48:58,337 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.49, 'd': -2.61, 'dp': -0.525, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535880}, 'timestamp': 1762535938.3376033}
2025-11-07 22:49:00,961 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.9992, 'd': -0.7708, 'dp': -0.2857, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535930}, 'timestamp': 1762535940.9617531}
2025-11-07 22:49:01,519 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.64, 'd': -18.27, 'dp': -4.0972, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535930}, 'timestamp': 1762535941.5180585}
2025-11-07 22:49:02,086 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.675, 'd': -2.425, 'dp': -0.4878, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535930}, 'timestamp': 1762535942.0852013}
2025-11-07 22:49:04,633 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.9992, 'd': -0.7708, 'dp': -0.2857, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535930}, 'timestamp': 1762535944.632384}
2025-11-07 22:49:05,184 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.64, 'd': -18.27, 'dp': -4.0972, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535930}, 'timestamp': 1762535945.1846604}
2025-11-07 22:49:05,760 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.675, 'd': -2.425, 'dp': -0.4878, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535930}, 'timestamp': 1762535945.7605505}
2025-11-07 22:49:08,313 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.9992, 'd': -0.7708, 'dp': -0.2857, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535930}, 'timestamp': 1762535948.313559}
2025-11-07 22:49:08,881 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.64, 'd': -18.27, 'dp': -4.0972, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535930}, 'timestamp': 1762535948.881255}
2025-11-07 22:49:09,428 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.675, 'd': -2.425, 'dp': -0.4878, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535930}, 'timestamp': 1762535949.428558}
2025-11-07 22:49:11,980 - producer - INFO - Sent: {'symbol': 'AAPL', 'data': {'c': 268.9992, 'd': -0.7708, 'dp': -0.2857, 'h': 272.29, 'l': 267.27, 'o': 269.63, 'pc': 269.77, 't': 1762535930}, 'timestamp': 1762535951.9797413}
2025-11-07 22:49:12,769 - producer - INFO - Sent: {'symbol': 'TSLA', 'data': {'c': 427.64, 'd': -18.27, 'dp': -4.0972, 'h': 453.5, 'l': 421.88, 'o': 453.5, 'pc': 445.91, 't': 1762535930}, 'timestamp': 1762535952.768061}
2025-11-07 22:49:13,366 - producer - INFO - Sent: {'symbol': 'MSFT', 'data': {'c': 494.675, 'd': -2.425, 'dp': -0.4878, 'h': 499.377, 'l': 493.25, 'o': 498.05, 'pc': 497.1, 't': 1762535930}, 'timestamp': 1762535953.3668087}
